sitename,county,aqi,status,pm2.5,datacreationdate,longigude
復興,高雄市,124,細懸浮微粒,對敏感族群不健康,2.2,0.32
永和,新北市,26,,良好,0.2,0.3
竹山,南投縣,78,細懸浮微粒,普通,2.6,0.31
中壢,桃園市,64,二氧化氮,普通,1.2,0.78
三重,新北市,53,二氧化氮,普通,0.6,0.84
冬山,宜蘭縣,38,,良好,0.6,0.22
宜蘭,宜蘭縣,31,,良好,0.7,0.18
陽明,臺北市,40,,良好,0.9,0.23
花蓮,花蓮縣,31,,良好,0.9,0.19
臺東,臺東縣,31,,良好,0.7,0.2
恆春,屏東縣,40,,良好,0.4,0.14
潮州,屏東縣,104,細懸浮微粒,對敏感族群不健康,3.4,0.4
屏東,屏東縣,92,細懸浮微粒,普通,2.7,0.39
小港,高雄市,115,細懸浮微粒,對敏感族群不健康,3.1,0.28
前鎮,高雄市,122,細懸浮微粒,對敏感族群不健康,2.6,0.32
前金,高雄市,115,細懸浮微粒,對敏感族群不健康,1.8,0.32
左營,高雄市,127,細懸浮微粒,對敏感族群不健康,1.8,0.27
